ubigeo,imputed,n_parents,parent_ubigeos,cvr_deaths,cvr_events,cvr_guerr_8088,cvr_guerr_8900,cvr_state_8088,cvr_state_8900,emergency_zone_1990,guerrilla_presence,marxist_vote_1980,colonial_mita_zone,prior_social_movements,illiteracy_1972,population_1972_thousands
021101,False,1,021101,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378745287656784,0.0,0.0,0.15920661389827728,15.125
021102,False,1,021102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07784431427717209,0.0,0.0,0.23064112663269043,1.2009999752044678
021104,False,1,021104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13432836532592773,0.0,0.0,0.22727273404598236,1.253999948501587
021105,False,1,021105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09125475585460663,0.0,0.0,0.20152883231639862,1.4390000104904175
021201,False,1,021201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18966218829154968,0.0,0.0,0.3641217350959778,13.111000061035156
021203,False,1,021203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571492433548,0.0,0.0,0.3616766333580017,1.6699999570846558
021204,False,1,021204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09707602113485336,0.0,0.0,0.2758764624595642,4.791999816894531
021205,False,1,021205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3458213210105896,0.0,0.0,0.364306777715683,2.0339999198913574
021206,False,1,021206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552995391190052,0.0,0.0,0.5424354076385498,5.420000076293945
021207,False,1,021207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871345043182373,0.0,0.0,0.5275160074234009,5.306000232696533
021208,False,1,021208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265822798013687,0.0,0.0,0.5783804059028625,2.691999912261963
021210,False,1,021210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24528302252292633,0.0,0.0,0.5061349868774414,1.3040000200271606
021301,False,1,021301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.0,0.0,0.39816632866859436,3.053999900817871
021302,False,1,021302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578966975212,0.0,0.0,0.5740398168563843,4.322000026702881
021304,False,1,021304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624671906232834,0.0,0.0,0.5880149602890015,2.4030001163482666
021305,False,1,021305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0845070406794548,0.0,0.0,0.6423022747039795,2.8320000171661377
021306,False,1,021306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041860464960336685,0.0,0.0,0.698063850402832,3.822000026702881
021307,False,1,021307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569395013153553,0.0,0.0,0.6304267048835754,2.694999933242798
021308,False,1,021308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048598766327,0.0,0.0,5.193490982055664,1.690000057220459
021401,False,1,021401,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06737588346004486,0.0,0.0,0.2587064802646637,2.009999990463257
021402,False,1,021402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09848485141992569,0.0,0.0,0.21321961283683777,0.4690000116825104
021403,False,1,021403,4.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.020270269364118576,0.0,0.0,0.24137930572032928,0.3479999899864197
021404,False,1,021404,9.0,5.0,0.0,1.0,0.0,7.0,1.0,0.0,0.5190839767456055,0.0,0.0,0.31130436062812805,0.574999988079071
021405,False,1,021405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16129031777381897,0.0,0.0,0.24809160828590393,0.7860000133514404
021406,False,1,021406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.030201341956853867,0.0,0.0,0.2449965476989746,1.4490000009536743
